GISJOIN,YEAR,STUSAB,STATE,GEO_ID,TL_GEO_ID,NAME_E,AQNFE001,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPKE001,AQPKE002,AQPKE003,AQPKE004,AQPKE005,AQPKE006,AQPKE007,AQPKE008,AQPKE009,AQPKE010,AQPKE011,AQPKE012,AQPKE013,AQPKE014,AQPKE015,AQPKE016,AQPKE017,AQPKE018,AQPKE019,AQPKE020,AQPKE021,AQPKE022,AQPKE023,AQPKE024,AQPKE025,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,AQP6E001,AQRAE001,NAME_M,AQNFM001,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPKM001,AQPKM002,AQPKM003,AQPKM004,AQPKM005,AQPKM006,AQPKM007,AQPKM008,AQPKM009,AQPKM010,AQPKM011,AQPKM012,AQPKM013,AQPKM014,AQPKM015,AQPKM016,AQPKM017,AQPKM018,AQPKM019,AQPKM020,AQPKM021,AQPKM022,AQPKM023,AQPKM024,AQPKM025,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008,AQP6M001,AQRAM001
G130,2018-2022,GA,Georgia,0400000US13,13,Georgia,10722325,10722325,5820019,3373948,37920,465487,7411,378659,638881,315042,323839,7158620,116098,1612,1713,2604,5582,12918,8688,17403,50519,25194,63390,97816,133514,141523,130065,1611827,331469,418865,985474,594639,1464589,669304,165134,108680,10462430,658872,756701,450869,477599,657997,281998,7178394,71355,37836,Georgia,,,8587,7461,2768,2788,1145,9956,10809,8455,7764,2226,3716,386,357,742,849,1265,1082,1462,2545,1586,2212,2983,3938,3960,3450,15387,5360,7580,11301,7188,13301,9130,3994,2989,2126,11422,14906,11767,12009,13278,10227,27064,353,200
G150,2018-2022,HI,Hawaii,0400000US15,15,Hawaii,1450589,1450589,333296,28665,4210,538970,150797,24503,370148,23091,347057,1022529,12474,203,302,362,798,1432,1437,2143,7813,2124,5737,6371,8695,9336,15366,244486,28341,61936,145130,113060,227243,85984,25539,16217,1414636,67275,68666,40056,41333,67524,26533,1103249,94814,42683,Hawaii,,,2170,975,608,4033,2432,2224,5141,1389,5335,247,1034,140,117,139,240,256,279,414,864,326,573,805,793,781,1082,3297,1365,1930,2773,2269,3224,2124,1429,1006,1005,3465,3132,2675,3048,3987,2259,6761,994,431
G160,2018-2022,ID,Idaho,0400000US16,16,Idaho,1854109,1854109,1574859,12781,22297,24987,2721,83887,132577,73263,59314,1212296,13404,274,256,360,1099,1684,1062,1527,8505,2309,8404,9417,14754,19274,21391,259629,59549,97800,205764,119611,244372,85760,20684,15407,1805238,85177,113611,75277,89503,128687,57822,1255161,70214,34919,Idaho,,,4460,713,1275,1090,422,3660,4233,3984,1670,841,1128,137,120,157,317,397,292,290,813,497,795,884,973,1278,1256,4298,2347,2751,3691,2777,4073,2670,1183,945,753,3484,4671,4161,4865,6275,3798,10294,715,346
G170,2018-2022,IL,Illinois,0400000US17,17,Illinois,12757634,12757634,8388659,1774605,55819,738071,5476,842553,952451,606350,346101,8746416,139881,2131,2368,2966,7349,14037,11681,16079,86964,19977,90342,74938,104969,124838,164216,1899480,316426,582890,1149453,727981,1924339,938097,214115,130899,12478664,705687,762206,437038,455958,658023,289888,9169864,78433,43198,Illinois,,,12338,5030,3377,3727,787,12766,14010,11448,7448,965,3502,378,431,494,891,973,989,1237,2782,1211,2970,2423,2621,3354,3462,14302,4079,7597,10374,6864,12042,8909,3632,3036,2363,10912,12473,10698,10709,10789,7734,22323,297,199
G180,2018-2022,IN,Indiana,0400000US18,18,Indiana,6784403,6784403,5426227,640752,12465,168899,2490,187740,345830,153259,192571,4532091,56042,840,1249,710,1583,3164,3316,4139,16598,9688,62349,52586,76345,87278,77367,1258288,237530,315006,579487,408878,815853,342003,69602,52190,6589135,392725,417977,264429,284564,410603,177211,4641626,67173,35578,Indiana,,,5342,3732,1240,2235,372,5535,6359,4694,5061,1324,1933,238,284,229,357,499,589,544,998,799,2225,1905,2597,3075,2291,8403,3610,5098,7242,5414,8298,5102,2546,2013,2136,8652,8526,8293,7426,8609,6183,19595,383,204
G190,2018-2022,IA,Iowa,0400000US19,19,Iowa,3188836,3188836,2769619,120619,10111,78940,4582,54569,150396,65729,84667,2131202,20405,297,641,323,705,1433,1825,1793,8075,3688,18573,16043,21570,28735,24539,568254,84538,151796,277459,255181,433380,148289,36031,27629,3088999,159126,184015,115478,121448,176948,81317,2250667,70571,37949,Iowa,,,3328,2315,705,1362,267,2975,4043,3252,2489,967,1110,126,201,154,178,332,372,414,960,560,848,1038,994,1339,1070,5914,2221,2734,3636,3465,5401,2649,1535,1273,950,4099,4281,3596,4056,4836,4261,10585,395,241
G200,2018-2022,KS,Kansas,0400000US20,20,Kansas,2935922,2935922,2341473,163581,22015,88513,2729,102461,215150,96078,119072,1926520,25436,412,597,701,1088,2475,2059,2906,10754,3721,16884,17778,21990,24578,26990,415315,79418,157160,276328,171665,417263,185313,38167,27522,2848334,150110,179760,106788,113244,174805,81015,2042612,69747,38108,Kansas,,,4694,2142,1462,1686,472,3840,4761,4385,3223,1049,1290,118,297,184,278,552,442,464,1025,477,1054,1020,1224,1068,1239,5253,1973,2663,3864,2910,4233,3100,1343,1432,928,5049,5161,3443,3803,5671,4138,9995,479,364
G210,2018-2022,KY,Kentucky,0400000US21,21,Kentucky,4502935,4502935,3816997,360184,6821,69187,3805,56352,189589,68088,121501,3067109,36539,356,496,722,1035,4130,2819,5193,12883,12904,62762,51118,64934,60322,47234,806274,196996,210743,408299,269411,478134,241185,56939,35681,4372749,319924,384834,207466,207090,288160,122899,2842376,60183,33515,Kentucky,,,3010,2867,595,1134,665,2671,4038,2903,2967,1380,1654,119,169,196,253,484,402,560,1036,933,2339,1762,1860,2294,1824,7599,3546,3762,5519,4045,5331,4349,1752,1478,1269,7736,7729,6089,5913,6937,4042,15811,443,209
G220,2018-2022,LA,Louisiana,0400000US22,22,Louisiana,4640546,4640546,2758714,1464582,24952,80363,2361,84387,225187,98242,126945,3121146,43616,581,432,883,1213,4447,3256,6845,18880,18111,40253,55190,75996,87555,57096,854193,171265,182985,466913,215867,519481,206717,56332,33039,4513793,382044,459994,225067,228944,289525,125005,2803214,57852,32981,Louisiana,,,4534,4710,1243,1470,708,4182,5541,3792,4748,1263,2041,255,181,244,346,634,573,800,1440,1291,1894,2098,2746,2745,2524,9260,3772,4188,6031,4411,7593,3956,2035,1366,1758,10152,10045,7151,6880,8217,5458,16137,468,265
G230,2018-2022,ME,Maine,0400000US23,23,Maine,1366949,1366949,1261284,21775,6722,15071,265,8128,53704,21246,32458,1005961,6442,188,183,125,118,430,322,458,1156,1384,8881,7731,10514,11217,10611,261945,49650,60081,128129,103134,214733,90861,22065,15603,1329454,60161,85330,47314,52146,78455,35400,970648,68251,39718,Maine,,,1965,902,453,681,82,1022,2341,1936,1272,446,584,92,98,68,68,162,108,161,236,266,709,635,735,769,722,3965,1623,1643,2755,2625,3560,2165,1174,909,587,2770,3047,2626,2694,3284,2307,6508,611,394
